cell_id,family,task,model,seed,method,score_origin,alpha,historical_q,current_q,q_change,delta_risk,delta_mean_atom_fraction,delta_precision,delta_iou
bxaic__indole__gin__seed123,bxaic,indole,gin,123,gradinput,P01_checkpoint_rerun,0.1,93,93,0,1.4849232954361469e-15,1.1546319456101628e-14,1.1102230246251563e-15,1.27675647831893e-15
bxaic__indole__gin__seed123,bxaic,indole,gin,123,gradinput,P01_checkpoint_rerun,0.2,85,85,0,-1.2212453270876722e-15,-1.2212453270876722e-15,2.7755575615628914e-16,2.7755575615628914e-16
bxaic__indole__gin__seed123,bxaic,indole,gin,123,atom_occlusion,P20_frozen_cache,0.05,41,41,0,0.0,0.0,0.0,0.0
bxaic__indole__gin__seed123,bxaic,indole,gin,123,atom_occlusion,P20_frozen_cache,0.1,33,33,0,0.0,0.0,0.0,0.0
bxaic__indole__gin__seed123,bxaic,indole,gin,123,atom_occlusion,P20_frozen_cache,0.2,26,26,0,0.0,0.0,0.0,0.0
bxaic__indole__gin__seed123,bxaic,indole,gin,123,saliency,P20_frozen_cache,0.05,67,67,0,0.0,0.0,0.0,0.0
bxaic__indole__gin__seed123,bxaic,indole,gin,123,saliency,P20_frozen_cache,0.1,55,55,0,0.0,0.0,0.0,0.0
bxaic__indole__gin__seed123,bxaic,indole,gin,123,saliency,P20_frozen_cache,0.2,39,39,0,0.0,0.0,0.0,0.0
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,ig,P01_checkpoint_rerun,0.05,88,88,0,7.910339050454239e-16,1.021405182655144e-14,9.43689570931383e-16,5.551115123125784e-16
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,ig,P01_checkpoint_rerun,0.1,66,66,0,1.609823385706477e-15,-1.1102230246251563e-16,1.4988010832439613e-15,2.4980018054066026e-15
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,ig,P01_checkpoint_rerun,0.2,44,44,0,-1.304512053934559e-15,5.828670879282072e-15,9.992007221626409e-16,1.2212453270876722e-15
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,gradinput,P01_checkpoint_rerun,0.05,97,97,0,3.8857805861880484e-16,-2.1094237467877974e-15,2.3314683517128287e-15,2.275957200481571e-15
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,gradinput,P01_checkpoint_rerun,0.1,96,96,0,1.5681900222830336e-15,6.994405055138486e-15,7.771561172376097e-16,1.1102230246251563e-15
