method,score_origin,grid,split,q,nominal_fraction,risk,mean_atom_fraction,precision,iou
atom_occlusion,P20_frozen_cache,exact_integer,calibration,90,0.9,0.019818290419448013,0.9158293682134557,0.2960706775209938,0.2917165834311164
atom_occlusion,P20_frozen_cache,exact_integer,calibration,91,0.91,0.016449750034033025,0.9292728290450031,0.2933389240807733,0.2897619688176727
atom_occlusion,P20_frozen_cache,exact_integer,calibration,92,0.92,0.014111357861279893,0.9398611762961147,0.29095005946351576,0.2878666687328088
atom_occlusion,P20_frozen_cache,exact_integer,calibration,93,0.93,0.011228853343610982,0.950375379429014,0.2890371055749477,0.2865840722759477
atom_occlusion,P20_frozen_cache,exact_integer,calibration,94,0.94,0.009403922506052579,0.9572930430038068,0.287989461864697,0.28596620089459035
atom_occlusion,P20_frozen_cache,exact_integer,calibration,95,0.95,0.007840645133288618,0.9647618444420105,0.28646480944119485,0.2847868946727276
atom_occlusion,P20_frozen_cache,exact_integer,calibration,96,0.96,0.004302933309009473,0.9821290871945787,0.28255044270143714,0.2816163146802147
atom_occlusion,P20_frozen_cache,exact_integer,calibration,97,0.97,0.001191300687376582,0.9941060126497764,0.2806188709912015,0.28044036952321516
atom_occlusion,P20_frozen_cache,exact_integer,calibration,98,0.98,0.00022414556725447758,0.9987011419504385,0.28000210705338335,0.2799799426604921
atom_occlusion,P20_frozen_cache,exact_integer,calibration,99,0.99,2.6666748692353084e-05,0.9997928310073173,0.2798547550339816,0.2798522003140978
atom_occlusion,P20_frozen_cache,exact_integer,calibration,100,1.0,0.0,1.0,0.27982386067947546,0.27982386067947546
atom_occlusion,P20_frozen_cache,exact_integer,test,0,0.0,1.0,0.0,0.0,0.0
atom_occlusion,P20_frozen_cache,exact_integer,test,1,0.01,0.6902014785176671,0.03893550928031149,0.8150119063849781,0.30812265304943703
atom_occlusion,P20_frozen_cache,exact_integer,test,2,0.02,0.6850468704707513,0.03999107566494566,0.80692111031866,0.3060610831028415
atom_occlusion,P20_frozen_cache,exact_integer,test,3,0.03,0.6689853443546497,0.044834826923837834,0.7752316000975575,0.2920532555219733
atom_occlusion,P20_frozen_cache,exact_integer,test,4,0.04,0.6503322661928738,0.05252287762263072,0.7414159312045118,0.2785443026786324
atom_occlusion,P20_frozen_cache,exact_integer,test,5,0.05,0.6075394467182131,0.07115131445476044,0.6981820476802021,0.2902464277303616
atom_occlusion,P20_frozen_cache,exact_integer,test,6,0.06,0.5880787873479351,0.08167365641745356,0.6735432542275275,0.28856764233859156
atom_occlusion,P20_frozen_cache,exact_integer,test,7,0.07,0.5764058149920833,0.08886134481337761,0.6581361518950603,0.2851702431935597
atom_occlusion,P20_frozen_cache,exact_integer,test,8,0.08,0.5680008376213836,0.09495907298355585,0.6451484912008725,0.28121953929029875
atom_occlusion,P20_frozen_cache,exact_integer,test,9,0.09,0.542950241111733,0.10864059190508,0.6285557684475602,0.2909226811603927
atom_occlusion,P20_frozen_cache,exact_integer,test,10,0.1,0.5250698216548277,0.11912892802861859,0.6143607138040849,0.29658428673975534
atom_occlusion,P20_frozen_cache,exact_integer,test,11,0.11,0.5119325717362153,0.1285261851138177,0.6029042653520521,0.29874593767107255
