cell_id,family,task,model,seed,method,origin,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
bxaic__rings-count__gin__seed123,bxaic,rings-count,gin,123,atom_occlusion,fresh_full_partition,0.89,89,0.09775464240964851,0.09793743117739336,4935,0.1,0.09731586226484065,0.9093605267635454,0.6412118396111315,0.6061612417412063,0.000913414905655683,0.9069767441860465
bxaic__rings-count__gin__seed123,bxaic,rings-count,gin,123,saliency,fresh_full_partition,0.77,77,0.09821439880687863,0.09839709443110722,4935,0.1,0.09888003866650728,0.7949011453215042,0.7239415911242668,0.6696172349738209,0.00687117982655533,0.7894736842105263
bxaic__rings-count__gin__seed2026,bxaic,rings-count,gin,2026,atom_occlusion,fresh_full_partition,0.9,90,0.09322028832465772,0.0934039957216741,4935,0.1,0.09333039576929542,0.9161493805082728,0.6402261131101878,0.6075866369913093,0.0009433840954067512,0.9142857142857143
bxaic__rings-count__gin__seed2026,bxaic,rings-count,gin,2026,saliency,fresh_full_partition,0.73,73,0.09540906548477794,0.09559232945044087,4935,0.1,0.09417264048503164,0.7535000516226404,0.7623833794550051,0.699809889426343,0.006213402306455905,0.75
bxaic__rings-count__gin__seed42,bxaic,rings-count,gin,42,atom_occlusion,fresh_full_partition,0.89,89,0.09802964793367958,0.09821238098717719,4935,0.1,0.09857010063041016,0.9094564950557085,0.641158962246354,0.6063141015699354,0.001009383197818669,0.9074074074074074
bxaic__rings-count__gin__seed42,bxaic,rings-count,gin,42,saliency,fresh_full_partition,0.8,80,0.09702424942798932,0.09720718616838028,4935,0.1,0.09812374916012888,0.8213967255509331,0.7017044775336649,0.6515256242947534,0.0076016406539635645,0.8157894736842105
bxaic__rings-max__gcn__seed123,bxaic,rings-max,gcn,123,atom_occlusion,fresh_full_partition,0.77,77,0.09107258770361436,0.09412267969118607,297,0.1,0.07402728117867662,0.7854938058025798,0.31494981453725857,0.30685371302813674,0.0030909474119541836,0.78125
bxaic__rings-max__gcn__seed123,bxaic,rings-max,gcn,123,saliency,fresh_full_partition,0.85,85,0.08840383906657527,0.09146288658648606,297,0.1,0.10048986650755251,0.8663559538024282,0.2795263564556423,0.2718901959880428,0.004814032294483542,0.8620689655172413
bxaic__rings-max__gcn__seed2026,bxaic,rings-max,gcn,2026,atom_occlusion,fresh_full_partition,0.81,81,0.0907304443264929,0.09378168444620257,297,0.1,0.07082564837532658,0.8240280212265818,0.3024743565266941,0.29571107188800366,0.0019183254665230721,0.8205128205128205
bxaic__rings-max__gcn__seed2026,bxaic,rings-max,gcn,2026,saliency,fresh_full_partition,0.89,89,0.09611878252489854,0.09915194097280149,297,0.1,0.09628354520081495,0.9060575744391638,0.26919021108094887,0.2623300956485459,0.0033890213887375173,0.9032258064516129
bxaic__rings-max__gcn__seed42,bxaic,rings-max,gcn,42,atom_occlusion,fresh_full_partition,0.77,77,0.09338827580790104,0.0964305970300221,297,0.1,0.07832167520198739,0.7848002227456136,0.31398069156640024,0.30547387794335823,0.002397364354987951,0.78125
bxaic__rings-max__gcn__seed42,bxaic,rings-max,gcn,42,saliency,fresh_full_partition,0.91,91,0.09147233216200648,0.09452108272522108,297,0.1,0.09968911198177435,0.927239365426323,0.264718305069791,0.258970590199027,0.0037545956192802537,0.9230769230769231
bxaic__rings-max__gin__seed123,bxaic,rings-max,gin,123,atom_occlusion,fresh_full_partition,0.74,74,0.09330402447665281,0.09634662842136202,297,0.1,0.08983342550160311,0.7538410201506358,0.32501081680634325,0.31567440349324083,0.0008461206986042041,0.75
