cell_id,family,task,model,seed,method,origin,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction,random_atom_fraction,saving_vs_random
bxaic__B__gin__seed2026,bxaic,B,gin,2026,saliency,fresh_full_partition,0.01,1,0.0546218487394958,0.0625,119,0.1,0.05657492354740062,0.03860035714971998,0.963302752293578,0.9342507645259939,0.0,0.037037037037037035,0.8893335038811342,0.8507331467314142
bxaic__B__gin__seed2026,bxaic,B,gin,2026,ig,historical_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,,0.037037037037037035,0.8893335038811342,0.8507331467314142
bxaic__B__gin__seed2026,bxaic,B,gin,2026,gradinput,historical_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,,0.037037037037037035,0.8893335038811342,0.8507331467314142
bxaic__B__gin__seed42,bxaic,B,gin,42,atom_occlusion,fresh_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035,0.9109252060222288,0.8723248488725088
bxaic__B__gin__seed42,bxaic,B,gin,42,saliency,fresh_full_partition,0.01,1,0.06302521008403361,0.07083333333333333,119,0.1,0.10091743119266056,0.03860035714971998,0.908256880733945,0.8899082568807339,0.0,0.037037037037037035,0.9109252060222288,0.8723248488725088
bxaic__B__gin__seed42,bxaic,B,gin,42,ig,historical_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,,0.037037037037037035,0.9109252060222288,0.8723248488725088
bxaic__B__gin__seed42,bxaic,B,gin,42,gradinput,historical_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,,0.037037037037037035,0.9109252060222288,0.8723248488725088
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,atom_occlusion,fresh_full_partition,0.56,56,0.09393918805683511,0.09441909314790772,1887,0.1,0.09267291843090436,0.5771687133266271,0.48320193780622916,0.4575426484298645,0.0,0.5757575757575758,0.90726752777742,0.3300988144507929
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,saliency,fresh_full_partition,0.85,85,0.0959663283192695,0.0964451597131695,1887,0.1,0.09052768252822396,0.8652452057581679,0.32701886509350797,0.31619186707941,0.0,0.8636363636363636,0.90726752777742,0.042022322019252156
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,ig,historical_full_partition,0.76,76,0.09725064430946787,0.09772879545125508,1887,0.1,0.09413712002369287,0.7755804835294008,0.3656777795867114,0.3508058121191153,,0.7741935483870968,0.90726752777742,0.13168704424801925
