cell_id,family,task,model,seed,method,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
google__benzene__gin__seed2026,google,benzene,gin,2026,saliency,0.6,60,0.08929166666666666,0.09830858085808582,100,0.1,0.10541666666666667,0.6160916245216622,0.5242463647463648,0.4902099369498752,0.0,0.6190476190476191
google__benzene__gin__seed42,google,benzene,gin,42,atom_occlusion,0.39,39,0.08904166666666667,0.09806105610561056,100,0.1,0.11262499999999998,0.40965951804062584,0.7516309523809522,0.6641441197691198,0.0,0.4090909090909091
google__benzene__gin__seed42,google,benzene,gin,42,saliency,0.41000000000000003,41,0.0853611111111111,0.0944169416941694,100,0.1,0.11574999999999999,0.4348783586203359,0.7206168831168831,0.6413867521367521,0.0,0.43478260869565216
google__logic10__gcn__seed123,google,logic10,gcn,123,atom_occlusion,0.62,62,0.08806666209607383,0.09709570504561761,100,0.1,0.10777355977355976,0.643859361388376,0.6826481157731159,0.6294499639507379,0.0,0.64
google__logic10__gcn__seed123,google,logic10,gcn,123,saliency,0.88,88,0.08978525069701539,0.09879727791783698,100,0.1,0.07542948717948716,0.9044864034460179,0.5077391388711049,0.4883596366298783,0.0,0.9090909090909091
google__logic10__gcn__seed2026,google,logic10,gcn,2026,atom_occlusion,0.58,58,0.08604460898578542,0.09509367226315385,100,0.1,0.10837612387612387,0.6035956443722295,0.7268212065712066,0.6686967827923711,0.0,0.6
google__logic10__gcn__seed2026,google,logic10,gcn,2026,saliency,0.86,86,0.08522969514145982,0.09428682687273246,100,0.1,0.07658653846153846,0.8835699014697331,0.5189204571228565,0.49942987763608643,0.0,0.88
google__logic10__gcn__seed42,google,logic10,gcn,42,atom_occlusion,0.63,63,0.08970734494263904,0.09872014350756335,100,0.1,0.0977094572094572,0.6532343613883762,0.6802899322899324,0.6332152305039302,0.0,0.6521739130434783
google__logic10__gcn__seed42,google,logic10,gcn,42,saliency,0.91,91,0.08919390739978972,0.09821178950474223,100,0.1,0.07625799200799199,0.9338352287177534,0.49252283721572987,0.47520169149511593,0.0,0.9375
google__logic10__gin__seed123,google,logic10,gin,123,atom_occlusion,0.61,61,0.08864406508524153,0.09766739117350641,100,0.1,0.08077401764901762,0.6347018522308668,0.7140289571539572,0.6686157208804266,0.0,0.6363636363636364
google__logic10__gin__seed123,google,logic10,gin,123,saliency,0.85,85,0.08722391334156038,0.09626130033817853,100,0.1,0.10158491508491506,0.8723556157554475,0.5121211428750128,0.48613994866801435,0.0,0.875
google__logic10__gin__seed2026,google,logic10,gin,2026,atom_occlusion,0.6,60,0.08958583573289455,0.09859983735930151,100,0.1,0.09464855977355975,0.6183148957091278,0.7193698246198246,0.6682054095715085,0.0,0.6190476190476191
google__logic10__gin__seed2026,google,logic10,gin,2026,saliency,0.81,81,0.08297211938388406,0.09205160335038022,100,0.1,0.08212728937728936,0.8357920867092252,0.5452912624870829,0.5209069519848393,0.0,0.8333333333333334
google__logic10__gin__seed42,google,logic10,gin,42,atom_occlusion,0.71,71,0.08838523241464415,0.09741112120261794,100,0.1,0.09837087912087909,0.7363289103233106,0.6058007792860735,0.5680435993744818,0.0,0.7391304347826086
google__logic10__gin__seed42,google,logic10,gin,42,saliency,0.74,74,0.0888350244526715,0.09785645985413012,100,0.1,0.09361330336330335,0.7659285576630037,0.586474198402217,0.5530667700462591,0.0,0.7619047619047619
google__logic7__gcn__seed123,google,logic7,gcn,123,atom_occlusion,0.31,31,0.08605699855699857,0.09969793887704337,66,0.1,0.06957953394123606,0.32899563852469804,0.5464285714285714,0.5214070799177182,0.0,0.32
google__logic7__gcn__seed123,google,logic7,gcn,123,saliency,0.96,96,0.051515151515151514,0.06567164179104479,66,0.1,0.028014184397163116,0.9948936170212767,0.19252581990973514,0.19171021707285574,0.0,1.0
google__logic7__gcn__seed2026,google,logic7,gcn,2026,atom_occlusion,0.37,37,0.08515512265512264,0.0988095238095238,66,0.1,0.054305977710233024,0.39782984641081,0.4638129010469436,0.44947192287617826,0.0,0.4
google__logic7__gcn__seed2026,google,logic7,gcn,2026,saliency,0.96,96,0.051515151515151514,0.06567164179104479,66,0.1,0.016666666666666663,0.9948936170212767,0.1942988695551252,0.1936960326756926,0.0,1.0
google__logic7__gcn__seed42,google,logic7,gcn,42,atom_occlusion,0.27,27,0.08571428571428572,0.09936034115138594,66,0.1,0.0626646403242148,0.28818596489492326,0.6278115501519757,0.6017170182063799,0.0,0.2857142857142857
google__logic7__gcn__seed42,google,logic7,gcn,42,saliency,0.96,96,0.04141414141414141,0.05572139303482587,66,0.1,0.028014184397163116,0.9948936170212767,0.19252581990973514,0.19171021707285574,0.0,1.0
google__logic7__gin__seed123,google,logic7,gin,123,atom_occlusion,0.6900000000000001,69,0.08430735930735932,0.09797441364605544,66,0.1,0.08282674772036475,0.7178330720591641,0.24761432941971118,0.2432986931241328,0.0,0.72
google__logic7__gin__seed123,google,logic7,gin,123,saliency,0.9400000000000001,94,0.08324314574314573,0.0969260838663824,66,0.1,0.06524822695035461,0.9573506207231287,0.19309272659545304,0.19132826912203582,0.0,0.9545454545454546
google__logic7__gin__seed2026,google,logic7,gin,2026,atom_occlusion,0.88,88,0.07373737373737374,0.08756218905472636,66,0.1,0.08865248226950355,0.9054155271605429,0.20028283568234817,0.1980347331606628,0.0,0.9090909090909091
google__logic7__gin__seed2026,google,logic7,gin,2026,saliency,0.92,92,0.083495670995671,0.09717484008528786,66,0.1,0.09822695035460995,0.9480649064374145,0.19102909873395288,0.1889031604475394,0.0,0.9545454545454546
google__logic7__gin__seed42,google,logic7,gin,42,atom_occlusion,0.89,89,0.08412698412698413,0.09779673063255154,66,0.1,0.07963525835866261,0.9117734745948357,0.19766182684876812,0.19445178249776668,0.0,0.9090909090909091
google__logic7__gin__seed42,google,logic7,gin,42,saliency,0.96,96,0.018181818181818184,0.032835820895522394,66,0.1,0.014184397163120567,0.9948936170212767,0.1951853943778203,0.19475986246292665,0.0,1.0
google__logic8__gcn__seed123,google,logic8,gcn,123,atom_occlusion,0.56,56,0.0851484903984904,0.09420642613711921,100,0.1,0.11920815295815296,0.5875354769144646,0.4515907148407149,0.4248921854289501,0.0,0.589572192513369
