cell_id,target,method,policy,alpha,rule,q,lambda,empirical_calibration_risk,corrected_calibration_risk,fallback_full,n_calibration,n_test,risk,mean_atom_fraction,precision,iou,full_molecule_fraction
liver__gcn__seed123,observed_class,saliency,index_tiebreak_v1,0.2,naive,78,0.78,0.17055847202906033,0.19495381108702914,False,33,31,0.13313836700933476,0.8107047035470187,0.27555036503031494,0.25668696770594945,0.0
liver__gcn__seed123,observed_class,saliency,include_all_exact_ties_v2,0.05,corrected,95,0.9500000000000001,0.02117702558879029,0.04996593660088469,False,33,31,0.03212020953956437,0.9769488323105321,0.26726180857082965,0.26296996912700954,0.41935483870967744
liver__gcn__seed123,observed_class,saliency,include_all_exact_ties_v2,0.05,naive,91,0.91,0.04487930370283311,0.0729710888880439,False,33,31,0.0449407223600772,0.9446483184746844,0.2695068741492085,0.2633287340612346,0.16129032258064516
liver__gcn__seed123,observed_class,saliency,include_all_exact_ties_v2,0.1,corrected,90,0.9,0.05656859480388893,0.08431657730965691,False,33,31,0.06160148095631966,0.9287774047889948,0.26868793320267814,0.25982563250511814,0.0967741935483871
liver__gcn__seed123,observed_class,saliency,include_all_exact_ties_v2,0.1,naive,89,0.89,0.09745363568892981,0.12399911699219658,False,33,31,0.06160148095631966,0.9251401350080567,0.2696405226751917,0.26076837519359136,0.0967741935483871
liver__gcn__seed123,observed_class,saliency,include_all_exact_ties_v2,0.2,corrected,78,0.78,0.15247285394344218,0.17740012294510565,False,33,31,0.13313836700933476,0.8204063770857042,0.27252937168674096,0.2536659743623755,0.03225806451612903
liver__gcn__seed123,observed_class,saliency,include_all_exact_ties_v2,0.2,naive,77,0.77,0.18510688657747482,0.20907433108990203,False,33,31,0.14058253574382606,0.8078000602129985,0.2723249145373123,0.2519072599695854,0.03225806451612903
liver__gcn__seed2026,hepatotoxic_class,atom_occlusion,index_tiebreak_v1,0.05,corrected,95,0.9500000000000001,0.01544011544011544,0.04439775910364146,False,33,31,0.008960573476702509,0.9738696534249016,0.27602671040947474,0.2750288376835442,0.3548387096774194
liver__gcn__seed2026,hepatotoxic_class,atom_occlusion,index_tiebreak_v1,0.05,naive,92,0.92,0.0385040885040885,0.06678338001867413,False,33,31,0.01144196305486628,0.9472535381731719,0.2804578422224399,0.27886443599775007,0.0967741935483871
liver__gcn__seed2026,hepatotoxic_class,atom_occlusion,index_tiebreak_v1,0.1,corrected,90,0.9,0.07065897065897066,0.09799253034547152,False,33,31,0.03576351963448738,0.9252950000969127,0.2842112151775731,0.28148750753100427,0.06451612903225806
liver__gcn__seed2026,hepatotoxic_class,atom_occlusion,index_tiebreak_v1,0.1,naive,86,0.86,0.09514472455648924,0.12175811501071016,False,33,31,0.07255110480916932,0.886507898753899,0.2864408626794466,0.2820015188398919,0.03225806451612903
liver__gcn__seed2026,hepatotoxic_class,atom_occlusion,index_tiebreak_v1,0.2,corrected,74,0.74,0.17462466727172601,0.19890041235196937,False,33,31,0.12113513726416951,0.7662330372259809,0.3080718458505577,0.2943177447375233,0.0
liver__gcn__seed2026,hepatotoxic_class,atom_occlusion,index_tiebreak_v1,0.2,naive,71,0.71,0.18605223752282574,0.2099918775956838,False,33,31,0.1343692150143763,0.7387546854198604,0.3099602270958095,0.29429909860635795,0.0
liver__gcn__seed2026,hepatotoxic_class,atom_occlusion,include_all_exact_ties_v2,0.05,corrected,95,0.9500000000000001,0.01544011544011544,0.04439775910364146,False,33,31,0.008960573476702509,0.9738696534249016,0.27602671040947474,0.2750288376835442,0.3548387096774194
liver__gcn__seed2026,hepatotoxic_class,atom_occlusion,include_all_exact_ties_v2,0.05,naive,92,0.92,0.0385040885040885,0.06678338001867413,False,33,31,0.01144196305486628,0.9472535381731719,0.2804578422224399,0.27886443599775007,0.0967741935483871
liver__gcn__seed2026,hepatotoxic_class,atom_occlusion,include_all_exact_ties_v2,0.1,corrected,90,0.9,0.07065897065897066,0.09799253034547152,False,33,31,0.03576351963448738,0.9268310984072046,0.2841263255341096,0.2814026178875408,0.06451612903225806
liver__gcn__seed2026,hepatotoxic_class,atom_occlusion,include_all_exact_ties_v2,0.1,naive,86,0.86,0.09514472455648924,0.12175811501071016,False,33,31,0.07255110480916932,0.8916282264548719,0.28590794436214795,0.28146860052259326,0.06451612903225806
liver__gcn__seed2026,hepatotoxic_class,atom_occlusion,include_all_exact_ties_v2,0.2,corrected,74,0.74,0.17462466727172601,0.19890041235196937,False,33,31,0.12113513726416951,0.7662330372259809,0.3080718458505577,0.2943177447375233,0.0
liver__gcn__seed2026,hepatotoxic_class,atom_occlusion,include_all_exact_ties_v2,0.2,naive,71,0.71,0.18605223752282574,0.2099918775956838,False,33,31,0.1236165268423333,0.743362980350736,0.31426130236462674,0.2989073935372335,0.0
liver__gcn__seed2026,hepatotoxic_class,gradinput,index_tiebreak_v1,0.05,corrected,94,0.9400000000000001,0.019817219817219817,0.048646125116713346,False,33,31,0.04113986372050888,0.9649302124271364,0.27086164909566773,0.26804292054984086,0.22580645161290322
liver__gcn__seed2026,hepatotoxic_class,gradinput,index_tiebreak_v1,0.05,naive,90,0.9,0.04692159692159693,0.07495331465919702,False,33,31,0.047205482689353664,0.9252950000969127,0.27983845532094226,0.275790275755674,0.06451612903225806
liver__gcn__seed2026,hepatotoxic_class,gradinput,index_tiebreak_v1,0.1,corrected,85,0.85,0.07105579605579605,0.09837768440709617,False,33,31,0.06463429044074205,0.8722136505886832,0.2902365877387877,0.2840735989557088,0.0
liver__gcn__seed2026,hepatotoxic_class,gradinput,index_tiebreak_v1,0.1,naive,84,0.84,0.09563492063492063,0.12223389355742297,False,33,31,0.06463429044074205,0.8620010109363151,0.2924421474259837,0.2862632679707293,0.0
liver__gcn__seed2026,hepatotoxic_class,gradinput,index_tiebreak_v1,0.2,corrected,76,0.76,0.1742490624843566,0.19853585476422847,False,33,31,0.10177635984087596,0.7857329420128534,0.3035063723975205,0.2908864648130668,0.0
